Type,"Policy area","Sub-policy area","Policy action",Country,Topics
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Australia

In Australia, producers and retailers are required by law to provide a Nutrition Information Panel with declarations for specified nutrients on a per 100g/ per serving basis (with limited exceptions) even in the absence of a nutrition or health claim. Additional nutrient declarations are required if a nutrition content or health claim is made. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).
",Australia,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient contents lists –&nbsp;Austria&nbsp;

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;
",Austria,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Bahamas

In the Bahamas, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
",Bahamas,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU&nbsp;nutrient content lists –&nbsp;Belgium

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;

The mandatory nutrition declaration provides information on the contents of&nbsp;energy, fat, saturated fat, carbohydrates, sugars, protein and salt. The content of energy and the amount of nutrients is given per 100 g or 100 ml. In addition to the six&nbsp;mandatory nutrients, the following nutrients may also be listed: monounsaturated fat, polyunsaturated fat, polyols, starch and fibre. Minerals and vitamins may also be mentioned if they are present in significant amounts. Online sales are also covered by this regulation.
",Belgium,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Bulgaria

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;
",Bulgaria,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Canada

In Canada, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
",Canada,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Chile

In Chile, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
",Chile,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;China

In China, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
",China,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Colombia

In Colombia, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
",Colombia,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Costa Rica

In Costa Rica, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
","Costa Rica",Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient&nbsp;content lists –&nbsp;Croatia

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;
",Croatia,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Cyprus

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;
",Cyprus,"Nutrient claims"
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Czech Republic

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;
","Czech Republic","Nutrient claims"
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Denmark

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food.&nbsp;In Denmark, the regulation’s implementation is under the remit of the Danish Veterinary and Food Administration (DVFA).

The mandatory nutrition declaration provides information on the contents of: energy, fat, saturated fat, carbohydrates, sugars, protein and salt. The content of energy and the amount of nutrients shall be given per 100 g or 100 ml of the food as sold. In addition to the six&nbsp;mandatory nutrients, the following nutrients may also be listed: monounsaturated fat, polyunsaturated fat, polyols, starch and fibre. Minerals and vitamins may also be mentioned if they are present in significant amounts. Online sales are also covered by this regulation.
",Denmark,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Ecuador

In Ecuador, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
",Ecuador,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;El Salvador

In El Salvador, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
","El Salvador",Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Estonia

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;
",Estonia,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Heart label system&nbsp;

The Heart Sign Meal is a menu labelling scheme for healthy restaurant food. This scheme makes it easier for the diner to assemble a healthy meal and for the food maker to prepare healthy food. The subscriber of the food service, on the other hand, can use the Heart Sign to determine the best possible offer for its diners in the invitation to tender. The use of the heart badge in restaurants began in 2008.&nbsp;A heart sign is a sign found on food packaging and in restaurants that indicates that the product or food portion in question is a better option for health. The heart badge has been developed to make everyday life easier and faster. By choosing Heart Label products, you make small, health-friendly changes to your diet without having to read product descriptions or nutritional content.

A heart symbol system was introduced in 2000 by the Finnish Heart Foundation and the Finnish Diabetes Foundation. The heart symbol indicates that a product is a better choice regarding sodium and salt content compared with another product in the same food category. The heart symbol system is acknowledged by the Finnish national authorities, and the National Nutrition Council recommends consumers to use products bearing the heart symbol.

If the salt content exceeds the permitted salt content limit for certain foods important for salt intake, it must be indicated on the packaging by the words “high salt” or “high in salt”. The labelling of high salinity is determined by the amount of total salt in the food (both added and natural). The amount of sodium is converted to salt by multiplying it by 2.5 (for example, 400 mg of sodium = 1000 mg, ie 1 g of salt)
",Finland,"Front-of-pack, Salt"
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Finland

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;
",Finland,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutri–Score- France

On 26 January 2016, the French Ministry of Health introduced Article 5 of the Health Act that recommended introducing a system of nutrition labelling. The Directorate-General for Health requested Public Health France to design the nutrition labelling and the decision to recommend the NutriScore system was informed by research that trialled four different types of nutrition labels in 80 supermarkets in September 2016. The NutriScore system was chosen as the most consumer-friendly. The NutriScore label uses a nutrient-profiling system, based on the UK Food Standards Agency model. It classifies food and drinks according to five categories of nutritional quality, indicated via a colour scale ranging from dark green to dark red. Each colour is also associated with a letter from A (dark green) to E (dark red) to make the labelling more accessible and understandable to consumers. The score takes into account for every 100 grams of produce whether the contents of the product include nutrients and food that should be favoured (positive nutrients including fibre, protein, fruit and vegetables) or nutrients that should be limited (negative nutrients including energy, saturated fatty acids, sugars, salt). The amount of nutrients per 100 grams contained in the product is scored using a points system (0–40 for negative nutrients and 0–15 for positive nutrients that should be favoured). The nutritional score of the product is calculated by subtracting the negative nutrient points from the positive nutrient points. All processed food is included, except aromatic herbs, teas, coffees and yeasts, and all beverages, except alcoholic beverages. The European Commission approved the use of the NutriScore label and on 31 October 2017 the French government signed a decree outlining that the NutriScore label would be used in France. The label is voluntary. The fourth National Health Nutrition Program plans to extend the use of the Nutri-Score to out-of-home catering and unpacked foods in the future.""
",France,Front-of-pack
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;France

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;
",France,Label
