"","Type","Policy.area","Sub.policy.area","Policy.action","Topics","type","status","national","ISO3","M49_code","country"
"1","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Australia

In Australia, producers and retailers are required by law to provide a Nutrition Information Panel with declarations for specified nutrients on a per 100g/ per serving basis (with limited exceptions) even in the absence of a nutrition or health claim. Additional nutrient declarations are required if a nutrition content or health claim is made. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).
","Label","regulatory","mandatory","national","AUS",36,"Australia"
"2","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient contents lists –&nbsp;Austria&nbsp;

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;
","Label","regulatory","mandatory","national","AUT",40,"Austria"
"3","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Bahamas

In the Bahamas, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
","Label","regulatory","mandatory","national","BHS",44,"Bahamas"
"4","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU&nbsp;nutrient content lists –&nbsp;Belgium

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;

The mandatory nutrition declaration provides information on the contents of&nbsp;energy, fat, saturated fat, carbohydrates, sugars, protein and salt. The content of energy and the amount of nutrients is given per 100 g or 100 ml. In addition to the six&nbsp;mandatory nutrients, the following nutrients may also be listed: monounsaturated fat, polyunsaturated fat, polyols, starch and fibre. Minerals and vitamins may also be mentioned if they are present in significant amounts. Online sales are also covered by this regulation.
","Label","regulatory","mandatory","national","BEL",56,"Belgium"
"5","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Bulgaria

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;
","Label","regulatory","mandatory","national","BGR",100,"Bulgaria"
"6","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Canada

In Canada, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
","Label","regulatory","mandatory","national","CAN",124,"Canada"
"7","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Chile

In Chile, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
","Label","regulatory","mandatory","national","CHL",152,"Chile"
"8","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;China

In China, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
","Label","regulatory","mandatory","national","CHN",156,"China"
"9","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Colombia

In Colombia, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
","Label","regulatory","mandatory","national","COL",170,"Colombia"
"10","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Costa Rica

In Costa Rica, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
","Label","regulatory","mandatory","national","CRI",188,"Costa Rica"
